Movie,Post-Nom Gross,Post-Nom Theatres,Pre-Nom Gross,Pre-Nom Theatres,Release,Year,url,Actor,Actress,Adapted Screenplay,Animated Feature,Art Direction,Cinematography,Costume Design,Director,Editing,Foreign Language Picture,Makeup,Original Comedy/Musical Score,Original Dramatic Score,Original Score,Original Screenplay,Original Song,Picture,Sound,Sound Editing,Supporting Actor,Supporting Actress,Visual Effects,Nomination count,Win,BAFTA,DGA,PGA,GGC,GGD
Bugsy,0.8873076094974514,1.0880325260738906,0.49383077208229237,0.8036172396100564,1991-12-13,1991,/movies/?id=bugsy.htm,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10,0,0,0,0,0,1
A Few Good Men,0.8104583233876029,1.5924972416329535,2.3798905152575904,1.8703263086335826,1992-12-11,1992,/movies/?id=fewgoodmen.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4,0,0,0,0,0,0
Unforgiven,0.43174145113845486,0.7447591026112542,1.492083206584052,1.7734534330387492,1992-08-07,1992,/movies/?id=unforgiven.htm,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9,1,0,1,0,0,0
Scent of a Woman,1.0497270205025304,1.1511585141596177,0.6767842625703286,1.0639021074099253,1992-12-23,1992,/movies/?id=scentofawoman.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1
The Crying Game,1.9033299591207398,1.0086428834130197,0.27799813672610546,0.1843983684568321,1992-11-27,1992,/movies/?id=cryinggame.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0,0,1,0,0
Howards End,0.8047432458506718,0.5029422581831556,0.17324387886192363,0.10791978246091095,1992-03-13,1992,/movies/?id=howardsend.htm,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9,0,1,0,0,0,0
The Fugitive,0.36149572024746607,1.3199163617354939,3.439951487958041,2.7525539160045405,1993-08-06,1993,/movies/?id=fugitive.htm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7,0,0,0,0,0,0
Schindler's List,2.5422512101244834,1.6283324621014112,0.5684393190654532,0.8671963677639046,1993-12-15,1993,/movies/?id=schindlerslist.htm,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,12,1,1,1,1,0,1
The Piano,0.7082299411920179,0.8768949294302143,0.4920268751899549,0.5936435868331441,1993-11-12,1993,/movies/?id=piano.htm,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8,0,0,0,0,0,0
In the Name of the Father,1.1913409432382016,0.8991113434396236,0.12519423405829794,0.19977298524404086,1993-12-31,1993,/movies/?id=inthenameofthefather.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7,0,0,0,0,0,0
The Remains of the Day,0.1966821851978308,0.2757449032932566,0.37438808372825344,0.58683314415437,1993-11-05,1993,/movies/?id=remainsoftheday.htm,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0
Forrest Gump,1.8213202844224352,1.5994854202401372,3.2088332895251024,1.7591490627789348,1994-07-06,1994,/movies/?id=forrestgump.htm,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13,1,0,1,1,0,1
Pulp Fiction,2.049146334791922,1.622355631789594,0.8150349477286556,1.1112764058315976,1994-10-14,1994,/movies/?id=pulpfiction.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7,0,0,0,0,0,0
Four Weddings and a Funeral,0.0,0.0,0.5626337836874141,0.7951502529009223,1994-03-11,1994,/movies/?id=fourweddingsandafuneral.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
The Shawshank Redemption,0.8711037378156296,1.1749571183533447,0.17916252978113992,0.7229991074085094,1994-09-23,1994,/movies/?id=shawshankredemption.htm,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0
Quiz Show,0.25842964297001336,0.6032018296169239,0.23433544927768796,0.6114251710800357,1994-09-16,1994,/movies/?id=quizshow.htm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0,0,0
Apollo 13,0.0,0.0,2.5867164950422596,1.624896150650789,1995-06-30,1995,/movies/?id=apollo13.htm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9,0,0,1,1,0,0
Braveheart,1.0082451276746793,1.3928948294055574,1.0079131243901092,1.4102741622819164,1995-05-24,1995,/movies/?id=braveheart.htm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1,0,0,0,0,0
Babe,0.7427553573895194,0.9971860710517059,0.8744544534441409,1.2392689005815563,1995-08-04,1995,/movies/?id=babe.htm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7,0,0,0,0,1,0
Sense and Sensibility,2.33077523538463,1.853675694688709,0.3701347209464998,0.6590972029908612,1995-12-15,1995,/movies/?id=senseandsensibility.htm,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7,0,1,0,0,0,1
Il Postino,0.918224279551171,0.7562434048540274,0.1607812061769904,0.06646358349487676,1995-06-16,1995,/movies/?id=ilpostino.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0
Jerry Maguire,1.657610986772918,2.1591908531222517,2.8933200188407344,2.7391774891774894,1996-12-13,1996,/movies/?id=jerrymaguire.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6,0,0,0,0,0,0
